t,iter,drug_c,pd_output_1,scope,scenario
2.0,29,0.0,4.6680519399685005,ode_,scn1
4.0,29,0.0,4.6680519399685005,ode_,scn1
8.0,29,0.0,4.6680519399685005,ode_,scn1
12.0,29,0.0,4.6680519399685005,ode_,scn1
24.0,29,0.0,4.6680519399685005,ode_,scn1
48.0,29,0.0,4.6680519399685005,ode_,scn1
72.0,29,0.0,4.6680519399685005,ode_,scn1
120.0,29,0.0,4.6680519399685005,ode_,scn1
0.0,30,0.0,4.759237964848158,ode_,scn1
2.0,30,0.0,4.759237964848158,ode_,scn1
4.0,30,0.0,4.759237964848158,ode_,scn1
8.0,30,0.0,4.759237964848158,ode_,scn1
12.0,30,0.0,4.759237964848158,ode_,scn1
24.0,30,0.0,4.759237964848158,ode_,scn1
48.0,30,0.0,4.759237964848158,ode_,scn1
72.0,30,0.0,4.759237964848158,ode_,scn1
120.0,30,0.0,4.759237964848158,ode_,scn1
0.0,31,0.0,5.291574565701154,ode_,scn1
2.0,31,0.0,5.291574565701154,ode_,scn1
4.0,31,0.0,5.291574565701154,ode_,scn1
8.0,31,0.0,5.291574565701154,ode_,scn1
12.0,31,0.0,5.291574565701154,ode_,scn1
24.0,31,0.0,5.291574565701154,ode_,scn1
48.0,31,0.0,5.291574565701154,ode_,scn1
72.0,31,0.0,5.291574565701154,ode_,scn1
120.0,31,0.0,5.291574565701154,ode_,scn1
0.0,32,0.0,4.33716339983484,ode_,scn1
2.0,32,0.0,4.33716339983484,ode_,scn1
4.0,32,0.0,4.33716339983484,ode_,scn1
8.0,32,0.0,4.33716339983484,ode_,scn1
12.0,32,0.0,4.33716339983484,ode_,scn1
24.0,32,0.0,4.33716339983484,ode_,scn1
48.0,32,0.0,4.33716339983484,ode_,scn1
72.0,32,0.0,4.33716339983484,ode_,scn1
120.0,32,0.0,4.33716339983484,ode_,scn1
0.0,33,0.0,5.533300115863211,ode_,scn1
2.0,33,0.0,5.533300115863211,ode_,scn1
4.0,33,0.0,5.533300115863211,ode_,scn1
8.0,33,0.0,5.533300115863211,ode_,scn1
12.0,33,0.0,5.533300115863211,ode_,scn1
24.0,33,0.0,5.533300115863211,ode_,scn1
48.0,33,0.0,5.533300115863211,ode_,scn1
72.0,33,0.0,5.533300115863211,ode_,scn1
120.0,33,0.0,5.533300115863211,ode_,scn1
0.0,34,0.0,5.335339402703833,ode_,scn1
2.0,34,0.0,5.335339402703833,ode_,scn1
4.0,34,0.0,5.335339402703833,ode_,scn1
8.0,34,0.0,5.335339402703833,ode_,scn1
12.0,34,0.0,5.335339402703833,ode_,scn1
24.0,34,0.0,5.335339402703833,ode_,scn1
48.0,34,0.0,5.335339402703833,ode_,scn1
72.0,34,0.0,5.335339402703833,ode_,scn1
120.0,34,0.0,5.335339402703833,ode_,scn1
0.0,35,0.0,5.284953283485393,ode_,scn1
2.0,35,0.0,5.284953283485393,ode_,scn1
4.0,35,0.0,5.284953283485393,ode_,scn1
8.0,35,0.0,5.284953283485393,ode_,scn1
12.0,35,0.0,5.284953283485393,ode_,scn1
24.0,35,0.0,5.284953283485393,ode_,scn1
48.0,35,0.0,5.284953283485393,ode_,scn1
72.0,35,0.0,5.284953283485393,ode_,scn1
120.0,35,0.0,5.284953283485393,ode_,scn1
